"By administrative divisions(eup, myeon, dong)","Item","UNIT","2015 Year","2016 Year","2017 Year","2018 Year","2019 Year","2020 Year","2021 Year",
"Whole country","Total population[Person]","Person","51069375","51269554","51422507","51629512","51779203","51829136","51738071",
"Whole country","Male[Person]","Person","25608502","25696987","25768055","25877195","25952070","25915207","25850044",
"Whole country","Female[Person]","Person","25460873","25572567","25654452","25752317","25827133","25913929","25888027",
"Whole country","Korean - total[Person]","Person","49705663","49855796","49943260","49977951","50000285","50133493","50088104",
"Whole country","Korean - male[Person]","Person","24819839","24881520","24922392","24931554","24934662","24972588","24943537",
"Whole country","Korean - Female[Person]","Person","24885824","24974276","25020868","25046397","25065623","25160905","25144567",
"Whole country","Foreigner-Total[Person]","Person","1363712","1413758","1479247","1651561","1778918","1695643","1649967",
"Whole country","Foreigner-Male[Person]","Person","788663","815467","845663","945641","1017408","942619","906507",
"Whole country","Foreigner-Female[Person]","Person","575049","598291","633584","705920","761510","753024","743460",
"Whole country","Household-Total[households]","households","19560603","19837665","20167922","20499543","20891348","21484785","22022753",
"Whole country","Type of occupancy[households]","households","19111030","19367696","19673875","19979188","20343188","20926710","21448463",
"Whole country","Institutional households[households]","households","16464","12968","15949","17209","16729","16388","17332",
"Whole country","Foreigner household[households]","households","433109","457001","478098","503146","531431","541687","556958",
"Whole country","Housing units-Total[Housing]","Housing","16367006","16692230","17122573","17633327","18126954","18525844","18811627",
"Whole country","Detached dwelling[Housing]","Housing","3973961","3967776","3963072","3948984","3917683","3897729","3870987",
"Whole country","Apartment[Housing]","Housing","9806062","10029644","10375363","10826044","11287048","11661851","11948544",
"Whole country","Row house[Housing]","Housing","485349","492469","502514","508664","514337","521606","526229",
"Whole country","Apartment unit ina private house[Housing]","Housing","1898090","2000783","2072905","2139885","2194943","2230787","2253158",
"Whole country","House within commercial building[Housing]","Housing","203544","201558","208719","209750","212943","213871","212709",
"Whole country","Living quaters other than housing unit[Housing]","Housing","607195","691672","773847","824686","896930","1000903","1097819",
"Total for eups","Total population[Person]","Person","4616802","4707855","4794377","4984023","5057507","5113052","5183834",
"Total for eups","Male[Person]","Person","2360708","2410964","2456558","2557807","2599416","2624351","2658474",
"Total for eups","Female[Person]","Person","2256094","2296891","2337819","2426216","2458091","2488701","2525360",
"Total for eups","Korean - total[Person]","Person","4467697","4548051","4625994","4787535","4839016","4904647","4977540",
"Total for eups","Korean - male[Person]","Person","2262853","2305977","2347613","2431315","2459087","2494271","2531672",
"Total for eups","Korean - Female[Person]","Person","2204844","2242074","2278381","2356220","2379929","2410376","2445868",
"Total for eups","Foreigner-Total[Person]","Person","149105","159804","168383","196488","218491","208405","206294",
"Total for eups","Foreigner-Male[Person]","Person","97855","104987","108945","126492","140329","130080","126802",
"Total for eups","Foreigner-Female[Person]","Person","51250","54817","59438","69996","78162","78325","79492",
"Total for eups","Household-Total[households]","households","1737415","1792689","1846901","1942637","1993797","2080384","2161590",
"Total for eups","Type of occupancy[households]","households","1695508","1746762","1798810","1890366","1937519","2021664","2099836",
"Total for eups","Institutional households[households]","households","2189","1846","2277","2505","2451","2353","2422",
"Total for eups","Foreigner household[households]","households","39718","44081","45814","49766","53827","56367","59332",
"Total for eups","Housing units-Total[Housing]","Housing","1614808","1673803","1749920","1862018","1935259","1992568","2039859",
"Total for eups","Detached dwelling[Housing]","Housing","544351","551606","560283","572652","574704","579820","582472",
"Total for eups","Apartment[Housing]","Housing","864404","903764","959130","1040205","1098180","1142894","1181768",
"Total for eups","Row house[Housing]","Housing","66387","68597","71398","74587","78176","79981","81831",
"Total for eups","Apartment unit ina private house[Housing]","Housing","112764","123194","131130","145491","154284","159041","162367",
"Total for eups","House within commercial building[Housing]","Housing","26902","26642","27979","29083","29915","30832","31421",
"Total for eups","Living quaters other than housing unit[Housing]","Housing","49554","58323","62526","67246","69227","74804","79794",
"Total for myeons","Total population[Person]","Person","4774878","4793569","4835090","4730290","4698591","4650781","4534456",
"Total for myeons","Male[Person]","Person","2455898","2472341","2498157","2453691","2447379","2420392","2352247",
"Total for myeons","Female[Person]","Person","2318980","2321228","2336933","2276599","2251212","2230389","2182209",
"Total for myeons","Korean - total[Person]","Person","4546520","4556905","4592308","4464067","4415652","4394145","4292808",
"Total for myeons","Korean - male[Person]","Person","2291860","2301931","2324414","2263139","2244382","2237761","2182704",
"Total for myeons","Korean - Female[Person]","Person","2254660","2254974","2267894","2200928","2171270","2156384","2110104",
"Total for myeons","Foreigner-Total[Person]","Person","228358","236664","242782","266223","282939","256636","241648",
"Total for myeons","Foreigner-Male[Person]","Person","164038","170410","173743","190552","202997","182631","169543",
