"By city & province(1)","Type(1)",Type(2),2021,2021,2021,2021,2021,2021,2021
"By city & province(1)","Type(1)",Type(2),Total,Family members and Relatives - Having People in Contact,Family members and Relatives - Not Having People in Contact,Family members and Relatives - Number of People (average),Except Family members and Relatives - Having People in Contact,Except Family members and Relatives - Not Having People in Contact,Except Family members and Relatives - Number of People (average)
"Whole country","Total",Total,100.0,77.3,22.7,2.9,77.2,22.8,3.8
"Whole country","Total for Dongs, Eups & Myeons",Total for Dongs,100.0,76.9,23.1,2.9,77.8,22.2,3.9
"Whole country","Total for Dongs, Eups & Myeons",Total for Eups & Myeons,100.0,79.0,21.0,2.9,74.0,26.0,3.5
"Whole country","Gender",Male,100.0,74.6,25.4,3.0,75.9,24.1,4.0
"Whole country","Gender",Female,100.0,79.9,20.1,2.8,78.4,21.6,3.6
"Whole country","Type of Household",Single household,100.0,77.1,22.9,2.7,72.3,27.7,3.5
"Whole country","Type of Household",One generation household,100.0,79.6,20.4,2.9,72.7,27.3,3.4
"Whole country","Type of Household",Two generation household,100.0,76.7,23.3,3.0,80.2,19.8,4.0
"Whole country","Type of Household",Three or more generation household,100.0,73.5,26.5,3.2,76.4,23.6,3.9
"Whole country","Number of household member",1 person,100.0,77.1,22.9,2.7,72.3,27.7,3.5
"Whole country","Number of household member",2 persons,100.0,78.0,22.0,2.8,72.7,27.3,3.4
"Whole country","Number of household member",3 persons,100.0,77.5,22.5,3.0,78.9,21.1,3.9
"Whole country","Number of household member",4 persons and over,100.0,76.5,23.5,3.1,81.9,18.1,4.2
"Whole country","Age",13~19 years old,100.0,67.4,32.6,3.0,86.3,13.7,5.5
"Whole country","Age",20~29 years old,100.0,73.4,26.6,3.0,86.9,13.1,4.5
"Whole country","Age",30~39 years old,100.0,81.0,19.0,2.9,80.8,19.2,3.9
"Whole country","Age",40~49 years old,100.0,81.7,18.3,3.0,79.2,20.8,3.5
"Whole country","Age",50~59 years old,100.0,79.7,20.3,3.1,77.6,22.4,3.6
"Whole country","Age",60~69 years old,100.0,77.7,22.3,3.0,73.0,27.0,3.3
