"By administrative divisions","By age ","Item","UNIT","1960 Year","1966 Year","1970 Year","1975 Year","1980 Year","1985 Year","1990 Year","1995 Year","2000 Year","2005 Year","2010 Year",
"Whole country","Total","Population[Person]","Person","24989241","29159640","31435252","34678972","37406815","40419652","43390374","44553710","45985289","47041434","47990761",
"Whole country","Total","Male[Person]","Person","12543968","14684147","15779615","17445246","18749306","20227564","21770919","22357352","23068181","23465650","23840896",
"Whole country","Total","Female[Person]","Person","12445273","14475493","15655637","17233726","18657509","20192088","21619455","22196358","22917108","23575784","24149865",
"Whole country","Total","Sex ratio","","100.79","101.44","100.79","101.23","100.49","100.18","100.7","100.73","100.66","99.53","98.7",
"Whole country","0-4 Years old","Population[Person]","Person","3549564","4480921","4316143","4227360","3794692","3702555","3279790","3427409","3130258","2382350","2219084",
"Whole country","0-4 Years old","Male[Person]","Person","1820312","2318664","2228736","2189456","1963963","1922758","1726863","1821350","1641166","1237301","1142220",
"Whole country","0-4 Years old","Female[Person]","Person","1729252","2162257","2087407","2037904","1830729","1779797","1552927","1606059","1489092","1145049","1076864",
"Whole country","0-4 Years old","Sex ratio","","105.27","107.23","106.77","107.44","107.28","108.03","111.2","113.4","110.21","108.06","106.1",
"Whole country","5-9 Years old","Population[Person]","Person","3781551","4612872","4531942","4453698","4420946","3916350","3862508","3096115","3444056","3168887","2394663",
"Whole country","5-9 Years old","Male[Person]","Person","1958379","2391295","2349086","2302542","2282813","2025353","1999001","1626922","1831446","1654228","1243294",
"Whole country","5-9 Years old","Female[Person]","Person","1823172","2221577","2182856","2151156","2138133","1890997","1863507","1469193","1612610","1514659","1151369",
"Whole country","5-9 Years old","Sex ratio","","107.42","107.64","107.62","107.04","106.77","107.11","107.27","110.74","113.57","109.21","108",
"Whole country","10-14 Years old","Population[Person]","Person","2822255","3590027","4393348","4527330","4440137","4475985","3991917","3711980","3064442","3434891","3173226",
"Whole country","10-14 Years old","Male[Person]","Person","1480279","1857472","2274301","2348676","2293386","2310570","2054494","1913801","1615013","1816318","1654964",
"Whole country","10-14 Years old","Female[Person]","Person","1341976","1732555","2119047","2178654","2146751","2165415","1937423","1798179","1449429","1618573","1518262",
"Whole country","10-14 Years old","Sex ratio","","110.31","107.21","107.33","107.8","106.83","106.7","106.04","106.43","111.42","112.22","109",
"Whole country","15-19 Years old","Population[Person]","Person","2383154","2708146","3088134","4146912","4239729","4316264","4448996","3863491","3691584","3100523","3438414",
"Whole country","15-19 Years old","Male[Person]","Person","1248791","1399246","1573179","2124156","2186973","2227322","2267129","1987044","1913885","1626378","1826179",
"Whole country","15-19 Years old","Female[Person]","Person","1134363","1308900","1514955","2022756","2052756","2088942","2181867","1876447","1777699","1474145","1612235",
"Whole country","15-19 Years old","Sex ratio","","110.09","106.9","103.84","105.01","106.54","106.62","103.91","105.89","107.66","110.33","113.3",
"Whole country","20-24 Years old","Population[Person]","Person","2279449","2298683","2523170","3123126","4053638","4245090","4396309","4304378","3848186","3662123","3055420",
"Whole country","20-24 Years old","Male[Person]","Person","1175602","1203321","1298687","1611767","2067729","2185720","2294290","2237940","2028206","1915902","1625371",
"Whole country","20-24 Years old","Female[Person]","Person","1103847","1095362","1224483","1511359","1985909","2059370","2102019","2066438","1819980","1746221","1430049",
"Whole country","20-24 Years old","Sex ratio","","106.5","109.86","106.06","106.64","104.12","106.14","109.15","108.3","111.44","109.72","113.7",
"Whole country","25-29 Years old","Population[Person]","Person","1913186","2244334","2204293","2507450","3082172","4070408","4333500","4137913","4096978","3671847","3538949",
"Whole country","25-29 Years old","Male[Person]","Person","916751","1116120","1096819","1271743","1540965","2027185","2160912","2078417","2057321","1858332","1802805",
"Whole country","25-29 Years old","Female[Person]","Person","996435","1128214","1107474","1235707","1541207","2043223","2172588","2059496","2039657","1813515","1736144",
"Whole country","25-29 Years old","Sex ratio","","92","98.93","99.04","102.92","99.98","99.22","99.46","100.92","100.87","102.47","103.8",
"Whole country","30-34 Years old","Population[Person]","Person","1556334","1959774","2193279","2224238","2519241","3115238","4207714","4230239","4093228","4096282","3695348",
"Whole country","30-34 Years old","Male[Person]","Person","727096","975994","1108853","1131486","1293533","1589610","2142825","2146351","2068202","2059913","1866397",
"Whole country","30-34 Years old","Female[Person]","Person","829238","983780","1084426","1092752","1225708","1525628","2064889","2083888","2025026","2036369","1828951",
"Whole country","30-34 Years old","Sex ratio","","87.68","99.21","102.25","103.54","105.53","104.19","103.77","103","102.13","101.16","102",
"Whole country","35-39 Years old","Population[Person]","Person","1416737","1552795","1854200","2189144","2223341","2581181","3201210","4133864","4186953","4112785","4099147",
"Whole country","35-39 Years old","Male[Person]","Person","687559","734345","915069","1111449","1127158","1324369","1648205","2103016","2117492","2065668","2060233",
"Whole country","35-39 Years old","Female[Person]","Person","729178","818450","939131","1077695","1096183","1256812","1553005","2030848","2069461","2047117","2038914",
"Whole country","35-39 Years old","Sex ratio","","94.29","89.72","97.44","103.13","102.83","105.38","106.13","103.55","102.32","100.91","101",
"Whole country","40-44 Years old","Population[Person]","Person","1187470","1346826","1461903","1800153","2131651","2187508","2539269","3071101","3996336","4123041","4131423",
"Whole country","40-44 Years old","Male[Person]","Person","598867","659331","691062","885250","1080457","1108685","1315182","1579850","2029413","2082427","2071431",
"Whole country","40-44 Years old","Female[Person]","Person","588603","687495","770841","914903","1051194","1078823","1224087","1491251","1966923","2040614","2059992",
"Whole country","40-44 Years old","Sex ratio","","101.74","95.9","89.65","96.76","102.78","102.77","107.44","105.94","103.18","102.05","100.6",
"Whole country","45-49 Years old","Population[Person]","Person","1033761","1116535","1284628","1398820","1781813","2089212","2176890","2464295","2952023","3900899","4073358",
"Whole country","45-49 Years old","Male[Person]","Person","518017","559889","628934","649961","868659","1042989","1100966","1261509","1496104","1961859","2044641",
"Whole country","45-49 Years old","Female[Person]","Person","515744","556646","655694","748859","913154","1046223","1075924","1202786","1455919","1939040","2028717",
"Whole country","45-49 Years old","Sex ratio","","100.44","100.58","95.92","86.79","95.13","99.69","102.33","104.88","102.76","101.18","100.8",
"Whole country","50-54 Years old","Population[Person]","Person","884576","947632","1024535","1197379","1325925","1695259","2010018","2063768","2350250","2855297","3798131",
"Whole country","50-54 Years old","Male[Person]","Person","444283","465588","506554","576664","609166","809619","994511","1028887","1185239","1426597","1887973",
"Whole country","50-54 Years old","Female[Person]","Person","440293","482044","517981","620715","716759","885640","1015507","1034881","1165011","1428700","1910158",
"Whole country","50-54 Years old","Sex ratio","","100.91","96.59","97.79","92.9","84.99","91.42","97.93","99.42","101.74","99.85","98.8",
"Whole country","55-59 Years old","Population[Person]","Person","664538","788723","855041","939205","1125353","1267757","1622853","1913461","1968472","2278438","2766695",
"Whole country","55-59 Years old","Male[Person]","Person","318745","376426","407895","449224","521797","560580","760993","923625","959680","1126997","1360747",
"Whole country","55-59 Years old","Female[Person]","Person","345793","412297","447146","489981","603556","707177","861860","989836","1008792","1151441","1405948",
